CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Zipcode
711525033,Existing Customer,66,F,0,High School,Married,13480,Blue,54,3,4,2,3171.0,2179,992.0,16866
712813458,Existing Customer,49,M,2,Unknown,Married,185061,Blue,36,4,2,0,19763.0,2517,17246.0,18391
714374133,Attrited Customer,56,M,2,Graduate,Married,126541,Blue,36,1,3,3,15769.0,0,15769.0,17304
717891558,Existing Customer,49,F,4,Graduate,Unknown,33683,Blue,36,6,4,2,3298.0,2200,1098.0,18457
716632758,Existing Customer,49,F,3,Graduate,Single,34388,Blue,36,2,2,0,2802.0,2363,439.0,17326
768563658,Existing Customer,56,M,2,Uneducated,Married,45853,Blue,50,4,2,3,4458.0,1880,2578.0,18281
711427458,Existing Customer,44,F,5,Graduate,Married,139362,Blue,35,4,1,2,6273.0,978,5295.0,17138
714091983,Existing Customer,42,M,2,High School,Single,65790,Blue,34,4,4,3,3336.0,1753,1583.0,18925
787584108,Existing Customer,55,M,3,Unknown,Married,84688,Blue,47,4,2,3,3436.0,2016,1420.0,18326
712030833,Attrited Customer,48,M,2,Graduate,Married,79222,Silver,35,2,4,4,34516.0,0,34516.0,16641
711481533,Existing Customer,39,M,1,High School,Divorced,72541,Blue,33,5,3,3,5926.0,1251,4675.0,17994
710082708,Existing Customer,44,M,4,Post-Graduate,Single,133800,Blue,32,2,4,2,23957.0,2102,21855.0,18000
708155733,Existing Customer,53,M,2,High School,Single,157017,Blue,44,4,2,2,14734.0,1634,13100.0,18187
788979258,Existing Customer,51,M,4,Uneducated,Single,96299,Silver,38,4,1,4,34516.0,1515,33001.0,18031
807986133,Existing Customer,57,M,2,College,Married,74953,Blue,52,5,3,3,6584.0,1817,4767.0,17807
788730933,Existing Customer,44,F,2,Uneducated,Single,18807,Blue,20,6,3,3,2084.0,1468,616.0,18072
711314058,Existing Customer,49,M,2,Graduate,Married,67808,Blue,32,2,2,2,1687.0,1107,580.0,17797
717975333,Existing Customer,50,M,2,Doctorate,Married,86617,Blue,38,6,2,2,25300.0,1330,23970.0,18461
715971108,Existing Customer,51,M,4,Graduate,Single,178627,Blue,42,3,2,3,34516.0,1763,32753.0,16281
720096558,Existing Customer,55,F,2,Graduate,Married,3919,Blue,42,5,3,3,2216.0,1034,1182.0,16442
719580033,Existing Customer,54,M,1,Graduate,Unknown,79599,Blue,43,4,2,3,2910.0,2030,880.0,18173
820582308,Existing Customer,42,M,5,Uneducated,Married,84773,Blue,37,6,2,2,22913.0,1528,21385.0,18189
789973308,Existing Customer,44,M,1,College,Single,66640,Blue,35,3,3,3,24312.0,1932,22380.0,16022
712876233,Existing Customer,53,M,2,Graduate,Single,105780,Blue,36,5,3,2,5272.0,1515,3757.0,17250
804595158,Existing Customer,44,F,4,Graduate,Single,6723,Blue,36,6,4,2,7000.0,2517,4483.0,18857
714826758,Existing Customer,37,F,3,Uneducated,Single,6406,Blue,29,4,4,2,7038.0,1801,5237.0,17583
779058108,Existing Customer,49,M,3,Graduate,Divorced,61793,Blue,30,6,1,2,2536.0,1823,713.0,17847
710790258,Existing Customer,47,M,2,Graduate,Married,89977,Blue,38,6,3,2,28904.0,1899,27005.0,17313
715623483,Existing Customer,47,M,3,Graduate,Married,77766,Blue,37,4,4,0,8567.0,1695,6872.0,18718
715156383,Existing Customer,44,M,1,Unknown,Unknown,180494,Blue,36,6,2,2,34516.0,1533,32983.0,16831
711013983,Attrited Customer,55,F,4,Unknown,Married,58797,Blue,45,2,4,3,2158.0,0,2158.0,17542
755420433,Existing Customer,59,F,1,Graduate,Married,49163,Blue,52,2,3,3,10133.0,1417,8716.0,18496
794543958,Existing Customer,53,M,1,Graduate,Divorced,106074,Blue,35,5,4,2,34516.0,1219,33297.0,18583
716396358,Existing Customer,52,M,2,Graduate,Married,69431,Blue,47,5,3,0,3085.0,1910,1175.0,18465
715398033,Existing Customer,53,M,2,High School,Single,123058,Blue,35,4,2,1,19040.0,2056,16984.0,16621
711743883,Existing Customer,43,F,3,Uneducated,Single,29927,Blue,35,5,2,3,4026.0,0,4026.0,16637
719720058,Existing Customer,44,M,3,High School,Single,68987,Blue,31,4,3,1,12756.0,837,11919.0,17824
778992108,Existing Customer,57,M,2,Unknown,Married,133996,Blue,45,5,3,3,5266.0,0,5266.0,17633
717539808,Existing Customer,51,F,2,High School,Single,14879,Blue,36,3,2,2,9930.0,0,9930.0,16632
714070758,Existing Customer,49,M,4,High School,Single,102164,Blue,38,4,3,0,31302.0,1953,29349.0,16734
714107958,Existing Customer,45,M,1,Graduate,Single,51940,Blue,36,4,4,3,6576.0,0,6576.0,16620
789140283,Existing Customer,53,M,0,Graduate,Single,92455,Blue,42,5,4,1,2664.0,2037,627.0,16474
715550508,Existing Customer,45,F,3,Unknown,Married,185995,Blue,28,5,1,2,2535.0,2440,95.0,17847
719712633,Existing Customer,64,M,1,Graduate,Married,1177,Blue,52,6,4,3,1709.0,895,814.0,16655
772629333,Existing Customer,45,M,3,Graduate,Married,57985,Blue,35,5,4,2,3454.0,1200,2254.0,18264
720336708,Existing Customer,53,M,3,Doctorate,Married,46836,Blue,35,5,3,2,3789.0,1706,2083.0,17949
802013583,Existing Customer,56,M,3,College,Married,152362,Blue,50,3,2,0,9689.0,2250,7439.0,16670
711887583,Attrited Customer,47,M,2,Unknown,Married,101978,Blue,37,2,3,3,5449.0,1628,3821.0,17961
714778833,Existing Customer,49,F,3,College,Single,47018,Blue,43,4,4,0,23032.0,1960,21072.0,16487
713843283,Existing Customer,41,F,3,Unknown,Married,65200,Silver,34,5,3,3,34516.0,2053,32463.0,16294
779155158,Existing Customer,53,M,3,Graduate,Married,161922,Blue,34,6,2,2,2940.0,1264,1676.0,16876
721091583,Existing Customer,44,F,2,Graduate,Single,30094,Blue,32,3,3,3,3031.0,1879,1152.0,17855
713572683,Existing Customer,44,M,3,High School,Unknown,61840,Blue,25,3,3,0,1862.0,0,1862.0,16210
716657058,Existing Customer,43,F,4,Post-Graduate,Married,34986,Blue,33,2,3,3,8358.0,926,7432.0,17612
779509983,Existing Customer,53,M,2,Post-Graduate,Single,133226,Blue,36,6,1,2,34516.0,931,33585.0,17744
717929133,Existing Customer,44,M,1,Uneducated,Married,66951,Blue,36,5,2,3,14450.0,2440,12010.0,16448
808284783,Existing Customer,62,F,1,Unknown,Married,35693,Blue,56,6,0,0,1438.3,0,1438.3,16757
708476808,Existing Customer,54,M,4,Unknown,Divorced,149830,Blue,36,6,3,2,33791.0,1960,31831.0,17809
710916408,Existing Customer,57,M,4,Graduate,Married,79270,Blue,39,4,3,0,8466.0,1886,6580.0,16743
708492558,Existing Customer,42,M,3,Unknown,Married,74193,Blue,36,5,3,3,15088.0,865,14223.0,16638
799825758,Existing Customer,42,M,4,High School,Divorced,70487,Blue,36,5,1,2,3263.0,1674,1589.0,16262
718619883,Existing Customer,54,F,0,Uneducated,Married,24958,Blue,36,2,2,2,1494.0,706,788.0,18774
711844758,Existing Customer,48,M,3,Graduate,Single,97072,Blue,35,6,1,0,13551.0,1294,12257.0,16281
714798783,Existing Customer,49,M,1,Graduate,Single,105230,Blue,36,6,2,2,18886.0,895,17991.0,17192
826762908,Existing Customer,52,M,3,High School,Unknown,106469,Blue,48,3,2,0,11976.0,1273,10703.0,16934
771894558,Existing Customer,50,M,3,High School,Single,112683,Blue,39,4,1,4,9964.0,1559,8405.0,17915
721074183,Existing Customer,49,M,1,Doctorate,Married,63866,Blue,36,4,6,3,24159.0,1196,22963.0,16188
715259583,Existing Customer,53,F,2,High School,Married,36616,Blue,44,3,2,3,5362.0,1901,3461.0,18602
718414008,Existing Customer,50,M,2,Graduate,Single,195384,Blue,36,3,2,2,34516.0,1023,33493.0,18002
719666283,Existing Customer,55,F,1,Doctorate,Married,10249,Blue,36,4,1,0,3174.0,1951,1223.0,16186
714877233,Existing Customer,53,M,1,High School,Married,94251,Blue,47,3,2,2,12262.0,1836,10426.0,17099
785387883,Existing Customer,47,F,3,High School,Single,57576,Blue,41,4,3,3,3788.0,1540,2248.0,18946
771075258,Existing Customer,55,M,2,College,Single,176348,Silver,42,2,3,2,34516.0,1527,32989.0,16174
711318033,Existing Customer,47,M,3,Graduate,Single,75682,Blue,36,4,2,2,2926.0,0,2926.0,17624
783554958,Existing Customer,58,M,4,Graduate,Single,151482,Blue,52,6,1,0,32090.0,0,32090.0,17599
720201033,Attrited Customer,53,M,2,Graduate,Married,107358,Blue,41,3,3,2,11669.0,2227,9442.0,17368
718039683,Existing Customer,52,M,2,High School,Single,53216,Blue,45,3,1,2,13532.0,1300,12232.0,18137
710806083,Existing Customer,50,F,1,Uneducated,Unknown,32987,Silver,36,4,2,2,11888.0,2090,9798.0,17084
714752208,Existing Customer,42,F,1,Graduate,Married,20797,Blue,36,5,1,2,2393.0,1985,408.0,16298
822063408,Existing Customer,43,M,4,Unknown,Married,49233,Blue,39,5,1,2,6111.0,2517,3594.0,16723
714490308,Existing Customer,57,M,4,Graduate,Married,88963,Blue,46,3,2,3,19270.0,1662,17608.0,18062
713356833,Existing Customer,52,M,1,Graduate,Married,115354,Blue,43,3,1,4,3710.0,2517,1193.0,16867
711402333,Existing Customer,47,M,2,Doctorate,Single,36528,Blue,37,2,1,3,3235.0,797,2438.0,16019
708296883,Existing Customer,44,F,3,Graduate,Single,45017,Blue,38,3,1,0,11749.0,788,10961.0,17829
719154483,Existing Customer,53,M,2,High School,Divorced,71794,Blue,36,5,3,2,7753.0,2100,5653.0,18032
717721458,Existing Customer,45,M,4,College,Divorced,72212,Blue,40,5,1,0,10408.0,1186,9222.0,17970
711112683,Existing Customer,63,F,1,College,Married,164882,Blue,36,6,2,3,3967.0,1568,2399.0,18266
715674483,Existing Customer,39,F,2,Post-Graduate,Single,16713,Blue,27,4,2,2,6205.0,2517,3688.0,17205
789322833,Attrited Customer,48,F,5,High School,Married,33330,Blue,38,1,3,3,8025.0,0,8025.0,18731
789968058,Existing Customer,51,M,1,Unknown,Single,153778,Blue,42,6,2,3,9036.0,2327,6709.0,17656
709919283,Existing Customer,54,M,4,Graduate,Married,84524,Blue,34,2,3,2,14926.0,2517,12409.0,17961
718744008,Existing Customer,59,F,1,Graduate,Single,25750,Blue,36,3,2,3,6335.0,1128,5207.0,17698
767712558,Attrited Customer,59,M,1,College,Single,79173,Blue,53,2,3,3,14979.0,0,14979.0,16932
712950783,Attrited Customer,48,F,4,Uneducated,Married,12065,Blue,38,3,2,3,2732.0,0,2732.0,17363
716104983,Existing Customer,41,F,2,Graduate,Single,25918,Blue,32,6,3,2,2250.0,2117,133.0,18631
818839983,Existing Customer,55,M,2,Graduate,Married,177019,Blue,50,3,2,0,10916.0,1536,9380.0,16063
772288758,Existing Customer,47,F,4,Graduate,Married,55055,Blue,36,4,1,3,5349.0,1228,4121.0,16001
712350858,Existing Customer,41,M,2,High School,Married,83759,Blue,24,4,1,3,9366.0,1104,8262.0,16498
711009708,Existing Customer,40,M,3,High School,Single,90769,Blue,28,5,1,0,21617.0,0,21617.0,16518
712720158,Existing Customer,68,M,1,Graduate,Married,87406,Blue,56,5,2,3,13860.0,1652,12208.0,16981
712215258,Existing Customer,50,F,1,Graduate,Single,52938,Silver,31,2,2,3,18386.0,0,18386.0,16907
773827008,Existing Customer,47,M,4,Uneducated,Single,79901,Blue,41,6,2,2,2405.0,1540,865.0,17110
795232683,Existing Customer,53,F,1,College,Married,25179,Blue,47,4,2,3,2154.0,930,1224.0,17773
713786508,Existing Customer,42,F,5,Unknown,Married,51910,Blue,36,3,3,3,2038.0,0,2038.0,17162
713539833,Existing Customer,48,F,4,High School,Single,50511,Blue,38,6,1,3,8135.0,0,8135.0,17856
712454058,Existing Customer,49,M,1,Doctorate,Married,135979,Blue,38,6,1,3,9364.0,618,8746.0,18619
718759833,Existing Customer,44,F,2,Uneducated,Married,171512,Silver,35,4,3,2,32643.0,0,32643.0,18768
718803333,Existing Customer,43,F,4,Graduate,Divorced,28040,Blue,34,2,3,1,3195.0,1954,1241.0,16757
720253908,Existing Customer,56,M,0,High School,Married,92677,Blue,43,5,2,1,2852.0,1024,1828.0,16708
714133158,Existing Customer,59,F,1,College,Single,13867,Blue,36,2,3,3,4224.0,1305,2919.0,16799
713187033,Existing Customer,46,M,1,Uneducated,Married,68959,Blue,36,3,2,2,20459.0,2071,18388.0,17327
714791208,Existing Customer,47,F,4,Unknown,Divorced,26572,Blue,41,6,5,3,3482.0,2114,1368.0,16941
772426383,Existing Customer,50,F,4,Uneducated,Married,40062,Blue,40,5,2,3,3065.0,1570,1495.0,18583
710975883,Existing Customer,51,F,3,Uneducated,Married,20270,Blue,43,3,1,2,2185.0,1761,424.0,17164
714264408,Existing Customer,47,F,3,Uneducated,Married,27213,Blue,36,4,1,0,1611.0,746,865.0,17203
715827858,Existing Customer,58,F,4,Uneducated,Married,5231,Blue,47,3,3,3,2822.0,2173,649.0,17949
713741358,Attrited Customer,46,M,5,Graduate,Single,110916,Blue,33,6,3,3,32975.0,2517,30458.0,18273
709531908,Existing Customer,53,M,3,High School,Married,63103,Blue,47,5,2,2,1438.3,0,1438.3,16293
716493408,Existing Customer,45,F,4,Uneducated,Divorced,114944,Blue,36,4,3,3,15875.0,1719,14156.0,16030
714141108,Existing Customer,52,F,1,High School,Married,34793,Blue,45,6,3,3,6703.0,893,5810.0,18676
708953883,Attrited Customer,53,M,2,Unknown,Married,111732,Blue,36,2,2,1,3212.0,0,3212.0,18033
712608783,Existing Customer,50,M,2,High School,Married,99090,Silver,45,3,1,3,34516.0,1260,33256.0,16769
820353558,Existing Customer,41,F,3,High School,Married,43247,Blue,36,4,1,2,9797.0,1434,8363.0,17302
714964758,Existing Customer,45,F,5,Graduate,Divorced,44689,Blue,36,5,2,2,10400.0,1777,8623.0,18972
716264358,Existing Customer,53,M,3,Uneducated,Married,99590,Blue,42,2,1,2,26792.0,1836,24956.0,16012
717296808,Existing Customer,67,F,1,Graduate,Married,12860,Blue,56,4,3,2,3006.0,2517,489.0,17478
712977183,Existing Customer,57,F,2,Uneducated,Single,49940,Silver,36,6,3,0,19482.0,1072,18410.0,17787
710829108,Existing Customer,59,F,1,Uneducated,Married,43401,Blue,36,4,2,3,3356.0,985,2371.0,16390
779562633,Existing Customer,45,M,2,Uneducated,Married,48802,Blue,34,3,2,1,5771.0,2248,3523.0,16324
715315833,Existing Customer,51,M,3,Graduate,Married,106416,Blue,36,6,2,3,11106.0,2107,8999.0,18313
815500983,Existing Customer,59,F,1,Uneducated,Married,26386,Blue,54,5,3,0,2890.0,2001,889.0,16144
719360583,Existing Customer,53,M,1,Graduate,Married,76737,Blue,45,6,2,2,3380.0,1701,1679.0,16572
709701558,Existing Customer,47,M,3,Graduate,Married,63278,Blue,36,2,1,2,21331.0,1251,20080.0,16468
721148358,Existing Customer,49,F,3,Uneducated,Single,67180,Blue,38,6,2,1,12860.0,0,12860.0,17357
779862408,Existing Customer,49,M,3,Post-Graduate,Single,110887,Blue,33,3,1,0,6278.0,462,5816.0,18859
812627208,Existing Customer,60,F,0,College,Single,1985,Blue,55,5,1,3,1438.3,738,700.3,16808
711033408,Existing Customer,50,F,2,High School,Married,20719,Blue,36,5,1,2,9355.0,1626,7729.0,17601
779956608,Existing Customer,41,F,2,Post-Graduate,Married,39517,Blue,31,6,1,3,20758.0,0,20758.0,16882
780376683,Existing Customer,57,M,1,Graduate,Married,93632,Blue,47,5,3,1,14612.0,1976,12636.0,16716
717912483,Existing Customer,43,M,4,Graduate,Unknown,87880,Blue,27,5,2,0,27259.0,0,27259.0,18867
714454758,Existing Customer,57,F,3,Graduate,Married,20501,Blue,47,4,2,3,6347.0,1594,4753.0,18304
780466533,Existing Customer,54,M,3,Doctorate,Married,170580,Blue,41,3,3,0,21592.0,1676,19916.0,18863
715735233,Existing Customer,51,F,5,Post-Graduate,Married,18374,Blue,44,5,1,1,3449.0,1598,1851.0,16135
720476733,Existing Customer,47,F,3,High School,Married,7616,Blue,34,2,1,2,6028.0,799,5229.0,16124
715872333,Existing Customer,41,M,0,High School,Unknown,183469,Blue,36,3,2,3,18214.0,1998,16216.0,18580
712375758,Existing Customer,53,M,3,Uneducated,Married,96112,Blue,43,3,3,1,16393.0,1423,14970.0,17572
708868233,Attrited Customer,68,M,0,High School,Married,32582,Blue,52,1,3,2,1438.3,900,538.3,17111
718030083,Existing Customer,59,M,1,College,Married,78322,Blue,36,4,1,2,7871.0,1687,6184.0,18784
720707283,Existing Customer,48,M,4,Unknown,Married,91458,Blue,36,5,3,0,5288.0,866,4422.0,17550
771698658,Existing Customer,44,M,5,Graduate,Married,79710,Blue,32,4,5,3,11376.0,2006,9370.0,16893
748326258,Existing Customer,48,M,3,College,Married,116138,Blue,41,4,5,3,12302.0,1632,10670.0,18549
770817783,Existing Customer,47,M,4,Graduate,Married,68079,Silver,33,3,2,1,34516.0,1679,32837.0,16928
779353083,Existing Customer,47,M,2,Graduate,Married,75393,Silver,32,4,2,2,34516.0,1468,33048.0,17582
711441333,Existing Customer,43,F,1,High School,Divorced,5600,Silver,35,3,2,2,10514.0,1580,8934.0,17634
719808558,Attrited Customer,55,F,2,Graduate,Married,7653,Blue,43,2,4,3,1438.3,0,1438.3,16667
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,73286,Blue,46,3,3,3,1438.3,0,1438.3,16628
809164083,Existing Customer,63,M,1,Graduate,Married,45139,Blue,56,2,1,2,2619.0,1779,840.0,18644
820596183,Existing Customer,58,M,2,College,Married,144760,Blue,53,2,3,0,24407.0,2395,22012.0,17234
715999608,Existing Customer,53,F,2,High School,Married,18855,Blue,36,4,1,2,2377.0,1649,728.0,16147
710565408,Existing Customer,59,M,0,Unknown,Unknown,104625,Silver,40,3,2,3,34516.0,1359,33157.0,17946
805543158,Existing Customer,52,M,3,Graduate,Married,148173,Blue,47,5,3,3,11086.0,2207,8879.0,16251
709752183,Existing Customer,48,M,3,High School,Single,79489,Blue,36,4,2,2,11432.0,2517,8915.0,18025
716479233,Existing Customer,43,M,4,High School,Married,41177,Blue,36,5,3,2,13258.0,1721,11537.0,18066
713837058,Existing Customer,48,M,2,College,Single,29426,Blue,36,3,2,3,2571.0,1955,616.0,18009
718876683,Existing Customer,43,F,4,Graduate,Single,2597,Blue,31,5,2,0,5781.0,1168,4613.0,17585
770746908,Existing Customer,44,M,4,Unknown,Married,62789,Blue,30,5,1,2,7872.0,2509,5363.0,17817
794843883,Existing Customer,41,M,3,High School,Married,106544,Blue,35,6,1,2,34516.0,1202,33314.0,18206
803043933,Existing Customer,44,F,3,Uneducated,Divorced,23309,Silver,38,4,1,3,11127.0,1835,9292.0,16494
758076408,Existing Customer,50,M,2,Unknown,Single,49848,Blue,43,2,1,3,1857.0,1603,254.0,18375
714606558,Existing Customer,60,F,1,Uneducated,Married,22134,Blue,36,5,1,0,1913.0,1272,641.0,16937
778425408,Existing Customer,44,M,4,Graduate,Single,105687,Blue,24,5,3,0,3839.0,2295,1544.0,16549
714171108,Existing Customer,48,F,3,Graduate,Divorced,57452,Blue,39,6,2,3,2115.0,1141,974.0,17707
719662458,Existing Customer,44,F,2,Graduate,Divorced,19062,Blue,27,5,2,2,1438.3,679,759.3,16559
713137233,Existing Customer,41,M,2,High School,Single,92729,Blue,28,4,3,0,27756.0,1789,25967.0,17414
769425858,Existing Customer,45,M,3,College,Single,72430,Blue,32,4,1,2,1438.3,0,1438.3,17130
711297483,Existing Customer,47,F,2,Uneducated,Divorced,24839,Silver,34,6,4,2,13878.0,2222,11656.0,16981
788900883,Existing Customer,51,F,2,Graduate,Married,34574,Blue,36,3,1,3,3106.0,1304,1802.0,16429
758348808,Existing Customer,51,M,2,Graduate,Married,174127,Blue,44,4,3,3,34516.0,1666,32850.0,16896
772336458,Attrited Customer,60,F,1,Uneducated,Married,50107,Blue,50,4,4,3,1438.3,1025,413.3,17310
708711483,Existing Customer,57,M,2,Unknown,Married,104857,Blue,46,2,3,0,18871.0,1740,17131.0,17586
717906783,Existing Customer,41,M,5,Graduate,Single,179968,Blue,29,5,2,2,5207.0,1748,3459.0,18326
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,115818,Blue,36,6,2,2,17965.0,1644,16321.0,17380
769433508,Existing Customer,43,M,1,College,Single,77013,Blue,37,6,3,3,2733.0,1819,914.0,16854
790096533,Existing Customer,55,M,2,College,Married,64245,Blue,48,4,3,2,8863.0,1301,7562.0,18286
720997383,Attrited Customer,52,M,1,Uneducated,Married,93976,Blue,36,2,3,3,1857.0,1833,24.0,16520
787541883,Existing Customer,44,M,3,Graduate,Unknown,113056,Blue,33,3,3,3,34516.0,0,34516.0,17518
709930758,Existing Customer,41,M,2,Uneducated,Married,44031,Blue,30,5,3,3,11107.0,1222,9885.0,17096
789830058,Existing Customer,44,M,4,Unknown,Single,110489,Blue,34,4,1,2,21573.0,1585,19988.0,18209
710299608,Attrited Customer,53,F,2,Unknown,Married,39027,Blue,33,2,3,3,2859.0,2517,342.0,18062
710741208,Existing Customer,39,M,2,High School,Single,89919,Blue,36,4,2,2,5269.0,1475,3794.0,17022
821797008,Attrited Customer,49,M,5,College,Married,59126,Blue,45,2,2,3,1438.3,0,1438.3,16405
708874533,Attrited Customer,45,F,2,College,Married,9852,Blue,36,1,3,2,3387.0,0,3387.0,18543
715341858,Existing Customer,54,M,2,Graduate,Married,94473,Blue,46,6,2,3,1982.0,1289,693.0,18397
793636308,Existing Customer,49,M,3,Uneducated,Single,80188,Blue,43,2,2,2,4645.0,1650,2995.0,18485
